#\alpha/° A_{3.666kHz}/V A_{6.174kHz}/V A_{7.379kHz}
0   5.9     1.21    0.082
10  5.3     1.25    0.285
20  5.1     2.53    0.52
30  4.9     3.46    1.33
40  4.9     3.7     1.91
50  4.4     3.54    2.85
60  2.3     2.65    3.54
70  2.7     1.25    3.66
80  2.4     0.9     2.93
90  1.6     3.34    1.25
100 0.64    4.94    1.13
110 1.21    5.87    3.54
120 2.65    5.31    4.7
130 4.4     3.42    4.3
140 5.5     0.374   2.01
150 7.1     3.5     1.93
160 7.7     7       6.1
170 8.7     9.3     8.5
180 8.8     10.1    9.8
